VariableName,DisplayName,DeviceName,Raster,DefaultBackColor,DefaultForeColor,HighThreshBackColor,LowThreshBackColor,HighThreshForeColor,LowThreshForeColor,HighThresh,LowThresh,EqualTo,Row,Col,CheckForDataChange,DisplayWindowName,DisplayWindowSize,AssociatedControlName,LocationOnForm,GridSize,AlsoAssociatedWith,DisplayFormat
VaTOFR_v_RltvLatVel[x]_[1],RltvLatVel,ACP3_MCU,25ms_c0,Yellow,Black,Red,Red,White,White,10000000,-10000000,,10,2,FALSE,Obj Ffus,,Front Fusion,,,,"""""0.000"""""
VaTOFR_v_RltvLatVel[x]_[2],RltvLatVel,ACP3_MCU,25ms_c0,Yellow,Black,Red,Red,White,White,10000000,-10000000,,10,3,FALSE,Obj Ffus,,Front Fusion,,,,"""""0.000"""""
VaTOFR_v_RltvLatVel[x]_[3],RltvLatVel,ACP3_MCU,25ms_c0,Yellow,Black,Red,Red,White,White,10000000,-10000000,,10,4,FALSE,Obj Ffus,,Front Fusion,,,,"""""0.000"""""
VaTOFR_v_RltvLatVel[x]_[4],RltvLatVel,ACP3_MCU,25ms_c0,Yellow,Black,Red,Red,White,White,10000000,-10000000,,10,5,FALSE,Obj Ffus,,Front Fusion,,,,"""""0.000"""""
VaTOFR_v_RltvLatVel[x]_[5],RltvLatVel,ACP3_MCU,25ms_c0,Yellow,Black,Red,Red,White,White,10000000,-10000000,,10,6,FALSE,Obj Ffus,,Front Fusion,,,,"""""0.000"""""
VaTOFR_v_RltvLatVel[x]_[6],RltvLatVel,ACP3_MCU,25ms_c0,Yellow,Black,Red,Red,White,White,10000000,-10000000,,10,7,FALSE,Obj Ffus,,Front Fusion,,,,"""""0.000"""""
VaTOFR_v_RltvLatVel[x]_[7],RltvLatVel,ACP3_MCU,25ms_c0,Yellow,Black,Red,Red,White,White,10000000,-10000000,,10,8,FALSE,Obj Ffus,,Front Fusion,,,,"""""0.000"""""
VaTOFR_v_RltvLatVel[x]_[8],RltvLatVel,ACP3_MCU,25ms_c0,Yellow,Black,Red,Red,White,White,10000000,-10000000,,10,9,FALSE,Obj Ffus,,Front Fusion,,,,"""""0.000"""""
VaTOFR_v_RltvLatVel[x]_[9],RltvLatVel,ACP3_MCU,25ms_c0,Yellow,Black,Red,Red,White,White,10000000,-10000000,,10,10,FALSE,Obj Ffus,,Front Fusion,,,,"""""0.000"""""
VaTOFR_a_RltvLonAccel[x]_[0],RltvLonAccel,ACP3_MCU,25ms_c0,Yellow,Black,Red,Red,White,White,10000000,-10000000,,11,1,FALSE,Obj Ffus,,Front Fusion,,,,"""""0.000"""""
VaTOFR_a_RltvLonAccel[x]_[1],RltvLonAccel,ACP3_MCU,25ms_c0,Yellow,Black,Red,Red,White,White,10000000,-10000000,,11,2,FALSE,Obj Ffus,,Front Fusion,,,,"""""0.000"""""
VaTOFR_a_RltvLonAccel[x]_[2],RltvLonAccel,ACP3_MCU,25ms_c0,Yellow,Black,Red,Red,White,White,10000000,-10000000,,11,3,FALSE,Obj Ffus,,Front Fusion,,,,"""""0.000"""""
